wavelengh nm	,	photon flux /m2/nm/s
280	,	0
280.5	,	0
281	,	0
281.5	,	#VALUE!
282	,	66625.7158
282.5	,	1735644.166
283	,	8043430.288
283.5	,	222331381.9
284	,	1688180135
284.5	,	6452039550
285	,	26337883952
285.5	,	50486939080
286	,	1.03866E+12
286.5	,	3.56373E+12
287	,	1.14842E+13
287.5	,	6.11841E+13
288	,	1.9711E+14
288.5	,	1.20779E+15
289	,	3.95599E+15
289.5	,	1.57647E+16
290	,	9.02616E+16
290.5	,	2.4963E+17
291	,	8.18519E+17
291.5	,	3.01468E+18
292	,	8.78248E+18
292.5	,	2.01673E+19
293	,	5.13834E+19
293.5	,	1.59841E+20
294	,	3.93677E+20
294.5	,	6.28314E+20
295	,	1.27499E+21
295.5	,	3.35163E+21
296	,	6.16746E+21
296.5	,	9.76323E+21
297	,	1.82537E+22
297.5	,	4.13262E+22
298	,	7.13263E+22
298.5	,	1.0635E+23
299	,	1.44629E+23
299.5	,	2.7837E+23
300	,	4.34747E+23
300.5	,	5.37589E+23
301	,	7.40046E+23
301.5	,	1.29725E+24
302	,	1.53937E+24
302.5	,	1.88963E+24
303	,	2.92245E+24
303.5	,	4.08002E+24
304	,	4.43621E+24
304.5	,	6.51316E+24
305	,	1.08072E+25
305.5	,	1.37106E+25
306	,	1.44826E+25
306.5	,	1.83819E+25
307	,	2.53167E+25
307.5	,	2.87393E+25
308	,	2.86324E+25
308.5	,	3.25339E+25
309	,	4.29344E+25
309.5	,	5.50703E+25
310	,	5.85687E+25
310.5	,	6.42508E+25
311	,	6.29559E+25
311.5	,	6.74173E+25
312	,	7.93784E+25
312.5	,	1.02312E+26
313	,	1.29699E+26
313.5	,	1.31788E+26
314	,	1.46597E+26
314.5	,	1.55635E+26
315	,	1.68481E+26
315.5	,	1.70327E+26
316	,	1.89554E+26
316.5	,	2.0726E+26
317	,	2.15512E+26
317.5	,	1.87285E+26
318	,	1.95531E+26
318.5	,	2.38829E+26
319	,	2.7429E+26
319.5	,	2.90695E+26
320	,	2.81555E+26
320.5	,	2.9802E+26
321	,	3.28978E+26
321.5	,	3.15028E+26
322	,	3.3001E+26
322.5	,	3.95018E+26
323	,	4.03708E+26
323.5	,	3.84929E+26
324	,	3.5961E+26
324.5	,	3.52056E+26
325	,	3.44478E+26
325.5	,	4.05225E+26
326	,	4.48229E+26
326.5	,	4.61981E+26
327	,	4.56153E+26
327.5	,	5.30541E+26
328	,	6.24835E+26
328.5	,	6.68498E+26
329	,	6.54717E+26
329.5	,	6.343E+26
330	,	5.79167E+26
330.5	,	6.14754E+26
331	,	6.98443E+26
331.5	,	7.77412E+26
332	,	7.81911E+26
332.5	,	7.11603E+26
333	,	6.71051E+26
333.5	,	6.9708E+26
334	,	7.28194E+26
334.5	,	7.34309E+26
335	,	7.18661E+26
335.5	,	6.82831E+26
336	,	6.97296E+26
336.5	,	7.48822E+26
337	,	7.81962E+26
337.5	,	7.64563E+26
338	,	7.01472E+26
338.5	,	6.46653E+26
339	,	6.34051E+26
339.5	,	6.80833E+26
340	,	7.37954E+26
340.5	,	7.74806E+26
341	,	7.91299E+26
341.5	,	8.09545E+26
342	,	8.58629E+26
342.5	,	8.58178E+26
343	,	8.07975E+26
343.5	,	8.05724E+26
344	,	8.41313E+26
344.5	,	8.7528E+26
345	,	8.88636E+26
345.5	,	8.39819E+26
346	,	7.23365E+26
346.5	,	6.98421E+26
347	,	7.96626E+26
347.5	,	8.49923E+26
348	,	8.32006E+26
348.5	,	8.48897E+26
349	,	8.62341E+26
349.5	,	8.33865E+26
350	,	8.31564E+26
350.5	,	8.46784E+26
351	,	8.18152E+26
351.5	,	8.40423E+26
352	,	9.29661E+26
352.5	,	9.99755E+26
353	,	9.74695E+26
353.5	,	9.37182E+26
354	,	9.17266E+26
354.5	,	8.68916E+26
355	,	9.23423E+26
355.5	,	1.0172E+27
356	,	1.07741E+27
356.5	,	1.09142E+27
357	,	1.09117E+27
357.5	,	1.05515E+27
358	,	9.92162E+26
358.5	,	9.30785E+26
359	,	8.20743E+26
359.5	,	8.30885E+26
360	,	7.74416E+26
360.5	,	7.19589E+26
361	,	8.48819E+26
361.5	,	1.02181E+27
362	,	1.08299E+27
362.5	,	1.02465E+27
363	,	9.44351E+26
363.5	,	9.27473E+26
364	,	9.72462E+26
364.5	,	1.06681E+27
365	,	1.09932E+27
365.5	,	1.06975E+27
366	,	1.10968E+27
366.5	,	1.10203E+27
367	,	1.14578E+27
367.5	,	1.26135E+27
368	,	1.35329E+27
368.5	,	1.35883E+27
369	,	1.33483E+27
369.5	,	1.31077E+27
370	,	1.23665E+27
370.5	,	1.22906E+27
371	,	1.28642E+27
371.5	,	1.38482E+27
372	,	1.40531E+27
372.5	,	1.27301E+27
373	,	1.29339E+27
373.5	,	1.34746E+27
374	,	1.26132E+27
374.5	,	1.20492E+27
375	,	1.16151E+27
375.5	,	1.04845E+27
376	,	1.04609E+27
376.5	,	1.03995E+27
377	,	1.11114E+27
377.5	,	1.23163E+27
378	,	1.27677E+27
378.5	,	1.25764E+27
379	,	1.35034E+27
379.5	,	1.50976E+27
380	,	1.62775E+27
380.5	,	1.58802E+27
381	,	1.41852E+27
381.5	,	1.27339E+27
382	,	1.34006E+27
382.5	,	1.43753E+27
383	,	1.46434E+27
383.5	,	1.3204E+27
384	,	1.12804E+27
384.5	,	9.77502E+26
385	,	8.76663E+26
385.5	,	8.48869E+26
386	,	9.85199E+26
386.5	,	1.18765E+27
387	,	1.3054E+27
387.5	,	1.24892E+27
388	,	1.20587E+27
388.5	,	1.25604E+27
389	,	1.2674E+27
389.5	,	1.2515E+27
390	,	1.2414E+27
390.5	,	1.23323E+27
391	,	1.34049E+27
391.5	,	1.48917E+27
392	,	1.56367E+27
392.5	,	1.57943E+27
393	,	1.6739E+27
393.5	,	1.69967E+27
394	,	1.56775E+27
394.5	,	1.30911E+27
395	,	9.48979E+26
395.5	,	7.5619E+26
396	,	9.83107E+26
396.5	,	1.35746E+27
397	,	1.60558E+27
397.5	,	1.71107E+27
398	,	1.50804E+27
398.5	,	1.09706E+27
399	,	8.50791E+26
399.5	,	1.2578E+27
400	,	1.70587E+27
401	,	2.02475E+27
402	,	2.14773E+27
403	,	2.21071E+27
404	,	2.2336E+27
405	,	2.34005E+27
406	,	2.447E+27
407	,	2.35172E+27
408	,	2.3982E+27
409	,	2.34302E+27
410	,	2.28753E+27
411	,	2.25221E+27
412	,	2.36037E+27
413	,	2.53076E+27
414	,	2.16569E+27
415	,	2.41908E+27
416	,	2.59078E+27
417	,	2.49318E+27
418	,	2.45757E+27
419	,	2.56789E+27
420	,	2.63686E+27
421	,	2.58026E+27
422	,	2.48131E+27
423	,	2.59264E+27
424	,	2.36641E+27
425	,	2.71091E+27
426	,	2.67489E+27
427	,	2.59611E+27
428	,	2.58092E+27
429	,	2.67252E+27
430	,	2.59309E+27
431	,	2.51325E+27
432	,	2.54067E+27
433	,	2.37396E+27
434	,	1.89278E+27
435	,	1.72155E+27
436	,	2.86867E+27
437	,	2.67927E+27
438	,	2.48896E+27
439	,	2.73541E+27
440	,	3.0049E+27
441	,	3.05576E+27
442	,	2.68817E+27
443	,	2.60597E+27
444	,	2.9882E+27
445	,	2.95062E+27
446	,	3.17966E+27
447	,	3.23143E+27
448	,	3.14938E+27
449	,	3.2684E+27
450	,	2.9392E+27
451	,	3.35055E+27
452	,	3.40312E+27
453	,	3.38813E+27
454	,	3.53151E+27
455	,	3.67548E+27
456	,	3.52446E+27
457	,	3.25879E+27
458	,	3.49438E+27
459	,	3.47919E+27
460	,	3.60153E+27
461	,	3.65541E+27
462	,	3.57125E+27
463	,	3.55595E+27
464	,	3.54056E+27
465	,	3.66421E+27
466	,	3.71864E+27
467	,	3.72669E+27
468	,	3.61803E+27
469	,	3.60244E+27
470	,	3.68051E+27
471	,	3.52396E+27
472	,	3.67277E+27
473	,	3.70421E+27
474	,	3.57024E+27
475	,	3.62523E+27
476	,	3.82288E+27
477	,	3.68821E+27
478	,	3.7437E+27
479	,	3.87107E+27
480	,	3.73555E+27
481	,	3.76739E+27
482	,	3.89552E+27
483	,	3.83138E+27
484	,	3.91182E+27
485	,	3.91997E+27
486	,	3.92812E+27
487	,	3.88767E+27
488	,	3.82268E+27
489	,	3.83058E+27
490	,	3.10501E+27
491	,	3.47888E+27
492	,	3.78062E+27
493	,	3.56697E+27
494	,	3.99332E+27
495	,	3.85326E+27
496	,	3.68786E+27
497	,	3.94336E+27
498	,	3.85196E+27
499	,	4.10877E+27
500	,	3.91746E+27
501	,	3.97536E+27
502	,	3.88315E+27
503	,	3.89094E+27
504	,	3.89874E+27
505	,	3.78052E+27
506	,	3.78807E+27
507	,	3.97274E+27
508	,	3.70174E+27
509	,	3.96313E+27
510	,	4.14917E+27
511	,	3.97883E+27
512	,	3.88445E+27
513	,	4.07134E+27
514	,	3.97672E+27
515	,	4.06163E+27
516	,	4.17261E+27
517	,	3.92269E+27
518	,	3.85276E+27
519	,	3.96389E+27
520	,	4.0235E+27
521	,	3.27706E+27
522	,	3.75245E+27
523	,	3.65526E+27
524	,	3.97621E+27
525	,	4.01007E+27
526	,	4.12281E+27
527	,	3.89391E+27
528	,	4.19132E+27
529	,	4.17291E+27
530	,	4.04855E+27
531	,	3.55253E+27
532	,	4.09051E+27
533	,	4.28454E+27
534	,	4.106E+27
535	,	4.35416E+27
536	,	4.28208E+27
537	,	3.8343E+27
538	,	4.11013E+27
539	,	4.17165E+27
540	,	4.3682E+27
541	,	4.05218E+27
542	,	4.24918E+27
543	,	4.17573E+27
544	,	4.02048E+27
545	,	3.89185E+27
546	,	4.22624E+27
547	,	4.1794E+27
548	,	4.32393E+27
549	,	4.22221E+27
550	,	4.20249E+27
551	,	4.26522E+27
552	,	4.13518E+27
553	,	4.28082E+27
554	,	4.26095E+27
555	,	4.26869E+27
556	,	4.35975E+27
557	,	4.25637E+27
558	,	4.31981E+27
559	,	4.35552E+27
560	,	4.30743E+27
561	,	4.20309E+27
562	,	4.29485E+27
563	,	4.07758E+27
564	,	4.14122E+27
565	,	4.40261E+27
566	,	4.18428E+27
567	,	4.36166E+27
568	,	4.28429E+27
569	,	4.32031E+27
570	,	4.10017E+27
571	,	4.36413E+27
572	,	4.34325E+27
573	,	4.2364E+27
574	,	4.24384E+27
575	,	4.10766E+27
576	,	4.34506E+27
577	,	4.38148E+27
578	,	4.36025E+27
579	,	4.28107E+27
580	,	4.25954E+27
581	,	4.35401E+27
582	,	4.24525E+27
583	,	4.31085E+27
584	,	4.37665E+27
585	,	4.41343E+27
586	,	4.47958E+27
587	,	4.54593E+27
588	,	4.52435E+27
589	,	4.50267E+27
590	,	4.42193E+27
591	,	4.51806E+27
592	,	4.40744E+27
593	,	3.82233E+27
594	,	4.06626E+27
595	,	4.37046E+27
596	,	4.28851E+27
597	,	4.35542E+27
598	,	4.33289E+27
599	,	4.28031E+27
600	,	4.40744E+27
601	,	4.44487E+27
602	,	4.39215E+27
603	,	4.39949E+27
604	,	4.4672E+27
605	,	4.41418E+27
606	,	4.36096E+27
607	,	4.4592E+27
608	,	4.52737E+27
609	,	4.53486E+27
610	,	4.51187E+27
611	,	4.54986E+27
612	,	4.55735E+27
613	,	4.50357E+27
614	,	4.51097E+27
615	,	4.48763E+27
616	,	4.55655E+27
617	,	4.50232E+27
618	,	4.38611E+27
619	,	4.54794E+27
620	,	4.43138E+27
621	,	4.3765E+27
622	,	4.57013E+27
623	,	4.57752E+27
624	,	4.58492E+27
625	,	4.62356E+27
626	,	4.47455E+27
627	,	4.4504E+27
628	,	4.42615E+27
629	,	4.4018E+27
630	,	4.40885E+27
631	,	4.54206E+27
632	,	4.29656E+27
633	,	4.46162E+27
634	,	4.40533E+27
635	,	4.50755E+27
636	,	4.32393E+27
637	,	4.61737E+27
638	,	4.56087E+27
639	,	4.63196E+27
640	,	4.51127E+27
641	,	4.67859E+27
642	,	4.71803E+27
643	,	4.69328E+27
644	,	4.60404E+27
645	,	4.61123E+27
646	,	4.65072E+27
647	,	4.69031E+27
648	,	4.69761E+27
649	,	4.73735E+27
650	,	4.6147E+27
651	,	4.5893E+27
652	,	4.56379E+27
653	,	4.40759E+27
654	,	4.44708E+27
655	,	4.71592E+27
656	,	4.55916E+27
657	,	4.69756E+27
658	,	4.67185E+27
659	,	4.44834E+27
660	,	3.92711E+27
661	,	4.09836E+27
662	,	4.60112E+27
663	,	4.60811E+27
664	,	4.64831E+27
665	,	4.6221E+27
666	,	4.59579E+27
667	,	4.60273E+27
668	,	4.67648E+27
669	,	4.75043E+27
670	,	4.75757E+27
671	,	4.73116E+27
672	,	4.77186E+27
673	,	4.84631E+27
674	,	4.78615E+27
675	,	4.79329E+27
676	,	4.73282E+27
677	,	4.77372E+27
678	,	4.78081E+27
679	,	4.75395E+27
680	,	4.795E+27
681	,	4.76803E+27
682	,	4.80919E+27
683	,	4.74796E+27
684	,	4.78916E+27
685	,	4.76195E+27
686	,	4.80325E+27
687	,	4.74157E+27
688	,	4.71411E+27
689	,	4.721E+27
690	,	4.62436E+27
691	,	3.34545E+27
692	,	3.87641E+27
693	,	3.9167E+27
694	,	4.09594E+27
695	,	4.27569E+27
696	,	4.42112E+27
697	,	4.39265E+27
698	,	4.36407E+27
699	,	4.44029E+27
700	,	4.44668E+27
701	,	4.69851E+27
702	,	4.63502E+27
703	,	4.53617E+27
704	,	4.50745E+27
705	,	4.47862E+27
706	,	4.48501E+27
707	,	4.4914E+27
708	,	4.63945E+27
709	,	4.68151E+27
710	,	4.65263E+27
711	,	4.65922E+27
712	,	4.6302E+27
713	,	4.6724E+27
714	,	4.71471E+27
715	,	4.72135E+27
716	,	4.69217E+27
717	,	4.62703E+27
718	,	4.66943E+27
719	,	4.5321E+27
720	,	4.57446E+27
721	,	4.00373E+27
722	,	3.72036E+27
723	,	3.33851E+27
724	,	3.57135E+27
725	,	3.95352E+27
726	,	4.50383E+27
727	,	4.14635E+27
728	,	3.86071E+27
729	,	3.7931E+27
730	,	3.94442E+27
731	,	3.98643E+27
732	,	3.80879E+27
733	,	3.8507E+27
734	,	4.14977E+27
735	,	3.93481E+27
736	,	4.23479E+27
737	,	4.42495E+27
738	,	4.57868E+27
739	,	4.51097E+27
740	,	4.48008E+27
741	,	4.44909E+27
742	,	4.56651E+27
743	,	4.42399E+27
744	,	4.54166E+27
745	,	4.51052E+27
746	,	4.55393E+27
747	,	4.63482E+27
748	,	4.67849E+27
749	,	4.68478E+27
750	,	4.69107E+27
751	,	4.69735E+27
752	,	4.66601E+27
753	,	4.67225E+27
754	,	4.64076E+27
755	,	4.64695E+27
756	,	4.65314E+27
757	,	4.65932E+27
758	,	4.70344E+27
759	,	4.70968E+27
760	,	4.63985E+27
761	,	4.64599E+27
762	,	4.69026E+27
763	,	4.54372E+27
764	,	1.01699E+27
765	,	5.8956E+26
766	,	2.63734E+27
767	,	1.45858E+27
768	,	2.07159E+27
769	,	2.64003E+27
770	,	3.14057E+27
771	,	3.75818E+27
772	,	4.28851E+27
773	,	4.37147E+27
774	,	4.49336E+27
775	,	4.53798E+27
776	,	4.58271E+27
777	,	4.58864E+27
778	,	4.59458E+27
779	,	4.60051E+27
780	,	4.60645E+27
781	,	4.5733E+27
782	,	4.57918E+27
783	,	4.62426E+27
784	,	4.55172E+27
785	,	4.55755E+27
786	,	4.60273E+27
787	,	4.56922E+27
788	,	4.53562E+27
789	,	4.5809E+27
790	,	4.58673E+27
791	,	4.55298E+27
792	,	4.47948E+27
793	,	4.48516E+27
794	,	4.33188E+27
795	,	4.41695E+27
796	,	4.38269E+27
797	,	4.34833E+27
798	,	4.39376E+27
799	,	4.3593E+27
800	,	4.28469E+27
801	,	4.37026E+27
802	,	4.45603E+27
803	,	4.38123E+27
804	,	4.30622E+27
805	,	4.3519E+27
806	,	4.39768E+27
807	,	4.32237E+27
808	,	4.3682E+27
809	,	4.25214E+27
810	,	4.46016E+27
811	,	4.4251E+27
812	,	4.38993E+27
813	,	4.27327E+27
814	,	4.3193E+27
815	,	4.28384E+27
816	,	4.20742E+27
817	,	4.1308E+27
818	,	3.70182E+27
819	,	3.66947E+27
820	,	3.41536E+27
821	,	3.50174E+27
822	,	3.38669E+27
823	,	3.72868E+27
824	,	3.55585E+27
825	,	4.12189E+27
826	,	3.93669E+27
827	,	2.78636E+27
828	,	3.8758E+27
829	,	4.02161E+27
830	,	3.88105E+27
831	,	4.09793E+27
832	,	3.54056E+27
833	,	3.8743E+27
834	,	3.82469E+27
835	,	3.86274E+27
836	,	3.74183E+27
837	,	4.01033E+27
838	,	3.91864E+27
839	,	4.20058E+27
840	,	4.08785E+27
841	,	4.25275E+27
842	,	4.21146E+27
843	,	4.2207E+27
844	,	4.31025E+27
845	,	4.27307E+27
846	,	4.22309E+27
847	,	4.28323E+27
848	,	4.18641E+27
849	,	4.3359E+27
850	,	4.34103E+27
851	,	4.22686E+27
852	,	4.23185E+27
853	,	4.21121E+27
854	,	3.82278E+27
855	,	4.17404E+27
856	,	4.15323E+27
857	,	4.14094E+27
858	,	3.65603E+27
859	,	3.92699E+27
860	,	4.18995E+27
861	,	4.27676E+27
862	,	4.28175E+27
863	,	4.28674E+27
864	,	4.27443E+27
865	,	4.27507E+27
866	,	4.31039E+27
867	,	4.34144E+27
868	,	4.25519E+27
869	,	4.19049E+27
870	,	3.69869E+27
871	,	3.99083E+27
872	,	4.18756E+27
873	,	4.15304E+27
874	,	4.2366E+27
875	,	4.18012E+27
876	,	4.24195E+27
877	,	4.2029E+27
878	,	4.13297E+27
879	,	4.08047E+27
880	,	4.19971E+27
881	,	4.21774E+27
882	,	4.20489E+27
883	,	4.14335E+27
884	,	4.16134E+27
885	,	4.02868E+27
886	,	4.1353E+27
887	,	4.12666E+27
888	,	4.14913E+27
889	,	4.20279E+27
890	,	4.04708E+27
891	,	4.06504E+27
892	,	4.11876E+27
893	,	4.18154E+27
894	,	4.13699E+27
895	,	4.15061E+27
896	,	4.07898E+27
897	,	3.92183E+27
898	,	3.82728E+27
899	,	3.66497E+27
900	,	3.43918E+27
901	,	3.00531E+27
902	,	3.24357E+27
903	,	2.48287E+27
904	,	3.36398E+27
905	,	2.71503E+27
906	,	3.03114E+27
907	,	3.12989E+27
908	,	3.8428E+27
909	,	3.71958E+27
910	,	3.53682E+27
911	,	2.91562E+27
912	,	2.97822E+27
913	,	3.21928E+27
914	,	2.86117E+27
915	,	3.06138E+27
916	,	3.16109E+27
917	,	2.88438E+27
918	,	2.87835E+27
919	,	3.12085E+27
920	,	2.65424E+27
921	,	3.36756E+27
922	,	2.73855E+27
923	,	3.41651E+27
924	,	3.44337E+27
925	,	3.61391E+27
926	,	3.24677E+27
927	,	3.45924E+27
928	,	3.35608E+27
929	,	3.30852E+27
930	,	3.27483E+27
931	,	3.67009E+27
932	,	2.75437E+27
933	,	2.57508E+27
934	,	2.02111E+27
935	,	1.91556E+27
936	,	1.41125E+27
937	,	1.16401E+27
938	,	6.766E+26
939	,	1.18061E+27
940	,	7.58096E+26
941	,	7.68334E+26
942	,	9.48466E+26
943	,	1.88478E+27
944	,	2.23199E+27
945	,	1.76098E+27
946	,	1.91924E+27
947	,	1.3188E+27
948	,	1.35819E+27
949	,	1.74945E+27
950	,	9.28001E+26
951	,	1.76745E+27
952	,	1.30672E+27
953	,	2.35839E+27
954	,	7.02528E+26
955	,	2.31552E+27
956	,	1.28828E+27
